salsa soya;salsa de soya
pulpa de tomate;salsa de tomate
chuletas de cerdo;chuleta de cerdo
champiñon shitake;champinones shiitake
manis;mani
pan tostado;pan
salsa tomates;salsa de tomate
vino oporto;vino tinto
chuletas kayser;chuleta kayser
fettucine;fettuccine
coñac;conac
alcachofas;alcachofa
aliño;alino completo
espaguetis;spaguetti
truto de pollo;trutro de pollo
arandanos;arandano
salsa de champiñones;salsa de champinon
aji de cacho de cabra;aji cacho de cabra
aceitunas verdes;aceituna verde
escalopas;bistec
galleta;galletas
panceta de cerdo;tocino
fideos ramen;fideos de ramen
solomillo;solomillo de cerdo
chipotles;aji
jugo de piña;jugo de pina
piña;pina
papa blanca;papa
champiñones portobello;champinones portobello
helado de chocolate;helado
crema chantilly;crema
canela molida;canela
manzana roja;manzana
helado de vainilla;helado
leche entera;leche
esencia cola de mono;esencia de cola de mono
semilla de amapola;amapola
hojas de menta;menta
covertura de chocolate semiamargo;cobertura de chocolate semiamargo
malvavisco;marshmallows
leche de almendras;leche de almendra
cobertura de chocolate;cobertura de chocolate semiamargo
yogurt ;yogurt
cobertura chocolate;chocolate
yogurt de vainilla;yogurt
harina cernida;harina
galletas de mantequilla;galletas
azucar morena;azucar rubia
leche descremada;leche semidescremada
galleta de champaña;galletas de champana
crema batida;crema
base de bizcocho;bizcocho
mermelada;mermelada de frambuesa
galleta de chocolate;galletas
higos;higo
beterraga;betarraga
higos deshidratados;higo deshidratado
cubo de hielo;agua